12249;5,9;[-0.12929719  1.40407528 -0.86743131 -0.04766689  0.77192287 -0.16984956 -0.70507959 -0.73927371 -0.08682322  0.80419822  0.03451818 -1.42378018  0.2424492   0.16579266  1.12729179 -1.04862269  0.10645364 -1.79173097 -0.05968863 -1.02315085  0.26028879  0.18534701 -0.20545059 -0.2853554  -1.38245377 -0.77946669 -0.7485503   0.34315402 -0.34395714  0.82609865 -1.88155883 -0.06085709  0.85969618  0.81373512 -2.9945002  -0.75609239  0.77378896 -2.13812842  0.64336028 -0.56971411 -0.54410473  0.572628    1.23303329 -0.14874523  1.662504  ]
12399;5,9;[ 0.43098737  1.70627205 -1.14461655  0.85575933 -0.39693964 -1.85799505  2.32804713 -0.0430521   0.10602206 -0.0459995  -0.84466015 -2.07159238 -0.88186655  1.46631061  0.05922581  0.46939621  0.13335932  0.88186781 -1.54359306  1.00547799 -0.9220782   0.58331866  1.27912553 -0.09395151 -0.37284791 -0.17395099  1.45981842  0.10948888 -2.03820641  1.04221115 -0.89533721 -0.21580665  0.15202481 -0.8337638   0.80385073  0.06041094  0.04205101 -1.16087485 -1.11324111 -0.03636275 -0.88244097 -0.34155423 -0.05643726  1.92431113  0.79856068]
12380;5,9;[ 0.59745587  0.46113026 -0.47612712  1.40773548 -1.06735331  1.53758917  0.09506484  1.47649964 -1.69926614 -0.73103506  0.34784211  1.02346181  0.85138032 -1.56435881 -0.923818   -1.11414144  1.25404473 -1.50682564 -1.1440311  -0.96202265  2.59342368 -0.1572908   1.23847234  1.7918426  -0.00311063  0.3720766  -1.13613893  0.85300324 -1.73672299  1.18691377  0.20580691 -0.5656368  -0.07859495  0.59996382  0.24966617 -0.0930599   1.00731141 -1.49326004 -0.54257666  0.81083211 -1.75459399  1.58149951  0.55976712  1.56378212  0.52769852]
12387;5,9;[ 0.47486861  1.75988172 -0.38707801  1.25311496  0.38128531  0.51242668  0.15297723  0.67784836  0.32949288  1.9576104   0.53559902  0.20802923 -0.99749348  0.63670179 -0.94575728  0.19226769 -0.39346996 -2.75402982 -2.29114509  1.05798123 -0.62640365  1.42726294  0.66119062  1.15922732  0.05334638  0.21192207  1.61359726  0.09558503 -0.53811222  1.12822759 -0.33269261 -1.3448281   0.79016291  0.73540841 -1.46107204  1.25244812  0.83983586 -0.65158852  0.81925017  0.49936809  0.15301613  0.53857622  1.31591875  0.10530575  1.01061852]
12379;5,9;[ 0.77769721  0.61484831 -1.188948   -0.07057593  1.90282347  0.5433285  -0.39860737 -0.05121186  0.57427326  0.15123831 -0.69287821 -1.70623359  0.60784044  0.51664913  0.34126888  0.23427242  0.59588996 -1.35128452 -1.76835585  0.6013511  -0.41448851  0.32482427  0.38871736  0.77086249  2.26444169 -0.47792906  0.69638721 -0.51360993  1.04028992  0.89062386 -0.41779223 -0.49247217  1.06962051 -0.83089607 -0.94467058 -0.8119825   0.1030839  -0.4198185   0.48187526  1.3764607  -0.74745867 -0.28684035  0.57137384 -1.67485523 -0.18084662]
12372;5,9;[ 1.19702117  0.74948349 -1.40307888  1.29577071  2.24136493  0.12500645 -0.21510218 -1.15528562 -0.93954952  1.32471119  0.38558935 -0.57760262  1.36050506 -0.52916189 -0.70842505  1.05549292  1.12558053 -0.87500425 -0.2069438  -0.48867087  1.59559098  0.95272049  0.65420698 -0.17141939 -0.08329015 -0.26518957 -1.25124866  0.50574438 -0.83074979  1.58868852 -0.15553697  0.35121909  0.1279854  -0.19846448  1.28238409  0.03576302 -0.51591268 -1.39925504  0.3178249   0.89847852 -1.71792391  1.75850373  1.3463945  -1.68916168  0.43280455]
11668;5,9;[ 5.87522827e-01 -2.66205756e-01 -1.01756704e-01  3.83096326e-02 -9.63110800e-01 -7.60051777e-01  1.80254552e+00  3.24066623e-01  3.17684871e-01  9.07596024e-01  8.00174936e-01  2.26189837e+00 -1.98422818e-01  1.06002504e+00 -2.28765080e-01  5.70803147e-01  3.87441130e-01  1.19125695e+00  2.54940449e+00 -9.11513297e-01 -5.17103909e-01 -2.30184277e-01 -8.94290126e-01 -9.74099057e-01  1.26255761e+00 -6.18191081e-01  4.84029214e-01  5.90426585e-01 -1.73475268e+00  1.49309181e-03  1.74645695e+00  1.77359973e+00 -2.76014808e-01  3.76106575e-01 -3.53818445e-01 -1.07352301e+00  7.74250223e-01  1.58206334e+00  4.97544066e-01 -3.32174204e-01  1.88414392e-01  1.40987609e+00  2.91907264e-01 -1.95723001e-01  1.32696378e+00]
11461;5,9;[ 1.7176812   0.72457858 -0.44179512 -1.59673698 -0.2422892   1.46526803 -1.84618071 -0.89175839 -1.81738345  1.17914162  1.06276599 -1.62724443  0.78473478 -0.18351376 -0.24976235 -0.03620877 -0.38660447 -1.4293132  -0.96624695  1.04139102 -0.87296944 -0.38491662  0.20384154  1.44880922 -1.21317482  1.05508273 -0.54779933  0.87957313 -1.13033895 -0.46385799  0.22341623 -2.51728544  1.47856533  0.63320398 -0.53273414  0.14018708 -0.56287287 -0.68542632 -0.34988269  0.20177219 -1.94809724 -0.12400583 -1.86875906  0.46920941 -0.11513983]
12404;5,9;[-0.23151561 -0.22757495 -1.20991632 -1.54802272 -0.31310545  0.49752487 -0.36276316  0.57730765 -0.25293453  1.33674161  0.94335074 -0.59792334  1.52727093  0.55812084  1.55782034  0.04370945  0.81638465  1.24536526 -1.36333507  0.0105044   0.06908123  0.95291589 -0.65269147 -0.23651238  0.00539978 -0.16028376  0.97606624  0.27990493 -1.03550995  1.81834368 -0.26584216  0.02916607  0.19854957  1.44506791 -1.49484299  0.39641125  1.90672432 -1.6646022   0.8169329   1.88833096 -0.41729669 -0.09407915 -0.45587112 -1.08997705  1.03493913]
12406;5,9;[ 0.02589581 -0.80689019 -1.84366074  0.55694646 -1.21251093 -1.14944432  0.77957905 -1.12460587  0.96286108  1.20053666  0.68085342 -1.84537049 -0.76148662 -0.74299093 -0.0897031  -0.21304402  1.1326913   0.1165796  -1.72741848 -0.87602766 -0.4708977  -0.70413289  0.28469323  0.97564484  0.37487873  0.53245852 -1.35611172 -0.66364639 -2.48152717 -0.09882299  0.35704732  1.16527827  1.23200652 -0.04412149 -1.75996279  0.5603871   1.11287043 -0.59220065  1.09772019  0.89235541  0.24107191  0.29435633 -0.3360709  -0.96224079  1.42490834]
12405;5,9;[-1.18751695  0.7090695  -1.24297078 -1.10720275 -0.29457361 -0.40766583 -0.79023642  1.19696387  1.32826827  1.20606903 -0.91851274 -2.1897099  -1.0797111   0.86887581  0.64568981 -1.09467376  1.64023316  1.31856579 -0.3494467   0.75492     0.88177248  0.7945677   0.15760878  0.85479723 -0.15219964 -0.29292038  0.58127816 -0.0934694  -1.96626391  0.41496321  0.81137557 -0.97145106  0.53475634  0.52741677  0.39519967  0.37664873 -0.47643351 -1.97015318 -0.19210101  1.1083566   0.56949658 -0.63140927  1.87946586 -1.3377182   0.12144729]
