HomeTeam,AwayTeam,FTHG,FTAG
RB Leipzig,Werder Bremen,3,2
Stuttgart,Schalke 04,1,3
Augsburg,Wolfsburg,2,3
Hoffenheim,Mainz,1,1
Hoffenheim,Bayern Munich,1,3
Augsburg,Fortuna Dusseldorf,1,2
Ein Frankfurt,Freiburg,3,1
Hannover,Werder Bremen,0,1
Leverkusen,M'gladbach,0,1
RB Leipzig,Dortmund,0,1
Stuttgart,Mainz,2,3
Nurnberg,Hertha,1,3
Schalke 04,Wolfsburg,2,1
Hertha,Schalke 04,2,2
Dortmund,Hannover,5,1
Freiburg,Hoffenheim,2,4
Mainz,Nurnberg,2,1
M'gladbach,Augsburg,2,0
Werder Bremen,Ein Frankfurt,2,2
Wolfsburg,Leverkusen,0,3
Bayern Munich,Stuttgart,4,1
Fortuna Dusseldorf,RB Leipzig,0,4
Hannover,RB Leipzig,0,3
Ein Frankfurt,Dortmund,1,1
Hertha,Wolfsburg,0,1
Hoffenheim,Fortuna Dusseldorf,1,1
Leverkusen,Bayern Munich,3,1
Nurnberg,Werder Bremen,1,1
Schalke 04,M'gladbach,0,2
Augsburg,Mainz,3,0
Stuttgart,Freiburg,2,2
Mainz,Leverkusen,1,5
Bayern Munich,Schalke 04,3,1
Dortmund,Hoffenheim,3,3
Freiburg,Wolfsburg,3,3
Hannover,Nurnberg,2,0
M'gladbach,Hertha,0,3
RB Leipzig,Ein Frankfurt,0,0
Fortuna Dusseldorf,Stuttgart,3,0
Werder Bremen,Augsburg,4,0
Augsburg,Bayern Munich,2,3
Hertha,Werder Bremen,1,1
Hoffenheim,Hannover,3,0
Schalke 04,Freiburg,0,0
Stuttgart,RB Leipzig,1,3
Wolfsburg,Mainz,3,0
Ein Frankfurt,M'gladbach,1,1
Leverkusen,Fortuna Dusseldorf,2,0
Nurnberg,Dortmund,0,0
Werder Bremen,Stuttgart,1,1
Bayern Munich,Hertha,1,0
Fortuna Dusseldorf,Nurnberg,2,1
Freiburg,Augsburg,5,1
Mainz,Schalke 04,3,0
M'gladbach,Wolfsburg,0,3
Dortmund,Leverkusen,3,2
Hannover,Ein Frankfurt,0,3
RB Leipzig,Hoffenheim,1,1
Augsburg,Dortmund,2,1
Ein Frankfurt,Hoffenheim,3,2
Hertha,Mainz,2,1
Leverkusen,Freiburg,2,0
M'gladbach,Bayern Munich,1,5
Nurnberg,RB Leipzig,0,1
Schalke 04,Fortuna Dusseldorf,0,4
Stuttgart,Hannover,5,1
Wolfsburg,Werder Bremen,1,1
Werder Bremen,Schalke 04,4,2
Bayern Munich,Wolfsburg,6,0
Dortmund,Stuttgart,3,1
Freiburg,Hertha,2,1
Mainz,M'gladbach,0,1
RB Leipzig,Augsburg,0,0
Hannover,Leverkusen,2,3
Hoffenheim,Nurnberg,2,1
Fortuna Dusseldorf,Ein Frankfurt,0,3
M'gladbach,Freiburg,1,1
Augsburg,Hannover,3,1
Hertha,Dortmund,2,3
Schalke 04,RB Leipzig,0,1
Stuttgart,Hoffenheim,1,1
Wolfsburg,Fortuna Dusseldorf,5,2
Bayern Munich,Mainz,6,0
Ein Frankfurt,Nurnberg,1,0
Leverkusen,Werder Bremen,1,3
Hoffenheim,Leverkusen,4,1
Dortmund,Wolfsburg,2,0
Fortuna Dusseldorf,M'gladbach,3,1
Freiburg,Bayern Munich,1,1
Nurnberg,Augsburg,3,0
RB Leipzig,Hertha,5,0
Werder Bremen,Mainz,3,1
Ein Frankfurt,Stuttgart,3,0
Hannover,Schalke 04,0,1
Mainz,Freiburg,5,0
Bayern Munich,Dortmund,5,0
Hertha,Fortuna Dusseldorf,1,2
Leverkusen,RB Leipzig,2,4
Schalke 04,Ein Frankfurt,1,2
Stuttgart,Nurnberg,1,1
Wolfsburg,Hannover,3,1
Augsburg,Hoffenheim,0,4
M'gladbach,Werder Bremen,1,1
Nurnberg,Schalke 04,1,1
Dortmund,Mainz,2,1
Hannover,M'gladbach,0,1
RB Leipzig,Wolfsburg,2,0
Stuttgart,Leverkusen,0,1
